;Unnamed: 0;Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor m2;Tipo Agregado
0;0;Quitinete;Copacabana;1;0;0;40;1700.0;500.0;60.0;42.5;Apartamento
1;1;Casa;Jardim Botânico;2;0;1;100;7000.0;0.0;0.0;70.0;Casa
2;2;Apartamento;Centro;1;0;0;15;800.0;390.0;20.0;53.33;Apartamento
3;3;Apartamento;Higienópolis;1;0;0;48;800.0;230.0;0.0;16.67;Apartamento
4;5;Apartamento;Cachambi;2;0;0;50;1300.0;301.0;17.0;26.0;Apartamento
5;6;Casa de Condomínio;Barra da Tijuca;5;4;5;750;22000.0;0.0;0.0;29.33;Casa
6;7;Casa de Condomínio;Ramos;2;2;0;65;1000.0;0.0;0.0;15.38;Casa
7;9;Apartamento;Grajaú;2;1;0;70;1500.0;642.0;74.0;21.43;Apartamento
8;10;Apartamento;Lins de Vasconcelos;3;1;1;90;1500.0;455.0;14.0;16.67;Apartamento
9;11;Apartamento;Copacabana;1;0;1;40;2000.0;561.0;50.0;50.0;Apartamento
10;12;Quitinete;Copacabana;1;0;0;27;1800.0;501.0;0.0;66.67;Apartamento
11;13;Apartamento;Copacabana;4;3;1;243;13000.0;2000.0;803.0;53.5;Apartamento
12;14;Casa de Condomínio;Taquara;3;1;1;115;2000.0;0.0;0.0;17.39;Casa
13;15;Apartamento;Freguesia (Jacarepaguá);3;0;0;54;950.0;300.0;28.0;17.59;Apartamento
14;16;Apartamento;Barra da Tijuca;2;1;1;67;1700.0;589.0;147.0;25.37;Apartamento
15;17;Apartamento;Tijuca;2;1;0;110;1900.0;700.0;138.0;17.27;Apartamento
16;18;Casa de Condomínio;Barra da Tijuca;4;3;2;466;7500.0;2695.0;0.0;16.09;Casa
17;19;Apartamento;Olaria;3;1;0;68;1000.0;670.0;0.0;14.71;Apartamento
18;20;Apartamento;Tijuca;2;1;0;78;2000.0;700.0;0.0;25.64;Apartamento
19;21;Apartamento;Ipanema;3;1;1;125;7000.0;2100.0;463.0;56.0;Apartamento
20;22;Apartamento;Tijuca;1;0;0;48;750.0;772.0;25.0;15.62;Apartamento
21;23;Apartamento;Barra da Tijuca;3;3;1;175;4200.0;1500.0;500.0;24.0;Apartamento
22;24;Casa;Campo Grande;4;1;2;400;12000.0;0.0;0.0;30.0;Casa
23;25;Apartamento;Botafogo;2;1;0;76;2500.0;740.0;0.0;32.89;Apartamento
24;26;Apartamento;Copacabana;3;1;2;378;10000.0;2150.0;700.0;26.46;Apartamento
25;27;Apartamento;Copacabana;3;0;0;180;5500.0;1780.0;420.0;30.56;Apartamento
26;28;Apartamento;Recreio dos Bandeirantes;3;1;1;105;2300.0;648.0;0.0;21.9;Apartamento
27;29;Apartamento;Leblon;3;1;0;110;3900.0;1500.0;120.0;35.45;Apartamento
28;30;Quitinete;Copacabana;1;0;0;27;1300.0;380.0;53.0;48.15;Apartamento
29;31;Apartamento;Jardim Oceânico;3;3;1;200;3500.0;1780.0;496.0;17.5;Apartamento
30;32;Apartamento;Barra da Tijuca;3;1;2;70;1800.0;1095.0;140.0;25.71;Apartamento
31;33;Apartamento;Copacabana;4;1;0;244;5000.0;2500.0;4100.0;20.49;Apartamento
32;34;Apartamento;Barra da Tijuca;3;2;1;110;4500.0;2000.0;450.0;40.91;Apartamento
33;35;Apartamento;Recreio dos Bandeirantes;2;2;2;90;3000.0;1340.0;0.0;33.33;Apartamento
34;36;Apartamento;Recreio dos Bandeirantes;3;2;2;100;2600.0;380.0;0.0;26.0;Apartamento
35;37;Apartamento;Barra da Tijuca;3;1;1;72;2350.0;600.0;70.0;32.64;Apartamento
36;38;Apartamento;Humaitá;2;2;1;180;4000.0;2500.0;300.0;22.22;Apartamento
37;39;Apartamento;Recreio dos Bandeirantes;3;1;2;92;2300.0;840.0;200.0;25.0;Apartamento
38;40;Apartamento;Centro;1;0;0;27;750.0;371.0;19.0;27.78;Apartamento
39;41;Apartamento;Ipanema;1;0;0;35;2000.0;650.0;75.0;57.14;Apartamento
40;42;Apartamento;Ipanema;1;0;0;38;1400.0;530.0;77.0;36.84;Apartamento
41;43;Apartamento;Recreio dos Bandeirantes;2;1;2;83;1600.0;1160.0;157.0;19.28;Apartamento
42;44;Casa de Condomínio;Barra da Tijuca;5;10;5;1600;25000.0;1600.0;0.0;15.62;Casa
43;45;Apartamento;Barra da Tijuca;4;3;3;153;6500.0;2300.0;434.0;42.48;Apartamento
44;46;Apartamento;Península;4;3;4;267;18000.0;3100.0;400.0;67.42;Apartamento
45;47;Apartamento;Ipanema;3;1;0;87;3200.0;1305.0;217.0;36.78;Apartamento
46;48;Apartamento;Méier;3;1;0;90;1550.0;844.0;80.0;17.22;Apartamento
47;49;Apartamento;Vargem Pequena;3;1;0;53;1400.0;385.0;28.0;26.42;Apartamento
48;50;Apartamento;Botafogo;3;1;1;108;5950.0;1405.0;289.0;55.09;Apartamento
49;51;Apartamento;Maracanã;2;0;0;86;1800.0;600.0;82.0;20.93;Apartamento
50;52;Apartamento;Recreio dos Bandeirantes;2;1;1;74;1850.0;675.0;200.0;25.0;Apartamento
51;53;Apartamento;Jacarepaguá;3;1;1;74;1900.0;556.0;98.0;25.68;Apartamento
52;54;Apartamento;Ipanema;3;2;1;150;8000.0;2400.0;0.0;53.33;Apartamento
53;55;Apartamento;Ipanema;3;1;1;140;7900.0;2900.0;500.0;56.43;Apartamento
54;56;Casa;Méier;2;0;0;51;1500.0;50.0;0.0;29.41;Casa
55;57;Apartamento;Jardim Botânico;2;2;0;95;4000.0;1170.0;0.0;42.11;Apartamento
56;59;Apartamento;Cachambi;2;0;0;60;1000.0;380.0;280.0;16.67;Apartamento
57;60;Casa;São Conrado;4;2;4;730;28000.0;2000.0;12000.0;38.36;Casa
58;61;Casa de Condomínio;Freguesia (Jacarepaguá);5;3;1;140;2500.0;1200.0;0.0;17.86;Casa
59;62;Apartamento;Leblon;2;1;1;80;3500.0;990.0;245.0;43.75;Apartamento
60;63;Apartamento;Barra da Tijuca;4;4;4;240;12700.0;4400.0;1440.0;52.92;Apartamento
61;64;Apartamento;Barra da Tijuca;3;2;1;104;2600.0;1364.0;406.0;25.0;Apartamento
62;65;Apartamento;Vila Valqueire;2;1;0;45;800.0;280.0;14.0;17.78;Apartamento
63;66;Apartamento;Gávea;2;1;0;70;2800.0;680.0;98.0;40.0;Apartamento
64;67;Apartamento;Barra da Tijuca;2;1;1;88;2700.0;1300.0;2042.0;30.68;Apartamento
65;68;Apartamento;Centro;1;1;0;37;1100.0;540.0;900.0;29.73;Apartamento
66;69;Apartamento;Cosme Velho;3;4;0;130;5500.0;1407.0;246.0;42.31;Apartamento
67;70;Apartamento;Bonsucesso;2;1;0;77;1500.0;740.0;0.0;19.48;Apartamento
68;71;Apartamento;Barra da Tijuca;3;2;2;85;2500.0;1400.0;190.0;29.41;Apartamento
69;72;Apartamento;Todos os Santos;3;1;1;78;1450.0;630.0;73.0;18.59;Apartamento
70;73;Apartamento;Laranjeiras;2;1;0;54;2300.0;582.0;0.0;42.59;Apartamento
71;74;Quitinete;Centro;0;0;0;30;800.0;505.0;0.0;26.67;Apartamento
